pdb_id	-logAffi
4nrc	3.62
4bkt	3.62
3px8	3.64
3oy8	3.66
4mx1	3.68
2za3	3.68
3d7b	3.69
4tte	3.69
2a8g	3.69
5ai0	3.69
1loq	3.7
3mrt	3.7
3l59	3.7
3n7a	3.7
1uy6	3.7
1uyd	3.7
3wkc	3.71
3ms2	3.72
4tln	3.72
2vta	3.73
4yk0	3.74
3gep	3.75
3d6q	3.76
3nuu	3.77
3wkd	3.77
3s0j	3.77
5aqf	3.78
1nje	3.8
5uf0	3.8
2hb1	3.8
1li6	3.8
4q9s	3.81
3ai8	3.81
3g2h	3.82
4y2t	3.82
2yb0	3.85
3lbz	3.86
5dtq	3.86
3npa	3.87
4ijl	3.87
3h03	3.87
5lm4	3.88
5eqe	3.88
3ti1	3.89
4men	3.9
4n9c	3.9
3l5b	3.91
2vth	3.92
2v3d	3.94
2h9n	3.94
1mrs	3.96
3gt9	3.96
3fu6	3.97
5c85	3.98
2uup	3.98
4i7l	3.99
2g8r	3.99
2qcg	4.0
1a86	4.0
2c8y	4.0
5a5p	4.0
4tuh	4.0
2ohr	4.0
5jao	4.0
4eym	4.01
2vtl	4.01
4k8a	4.02
5u5k	4.02
2ohp	4.03
4msn	4.03
5hng	4.03
2qrm	4.03
4wmv	4.03
5epr	4.04
4y2v	4.04
1hi5	4.04
3thd	4.05
3fjz	4.05
4xm6	4.05
5h9s	4.06
4b85	4.06
3h2f	4.06
2va5	4.07
1wax	4.07
1y2g	4.08
1n2v	4.08
3g2n	4.09
1o0n	4.09
1y2b	4.09
4do3	4.1
3iod	4.1
3ewz	4.1
5t7s	4.1
2qiq	4.1
4c66	4.1
3l5d	4.11
3fu5	4.12
4mi3	4.12
3qto	4.13
4trw	4.14
5lvq	4.14
3adu	4.14
5fpi	4.14
3tvx	4.14
4i7m	4.14
4cr5	4.15
3dz2	4.15
5ow1	4.15
5aan	4.15
4esi	4.15
2alv	4.15
3wk9	4.15
3si3	4.16
1mns	4.17
4w54	4.17
5x4n	4.17
3qfd	4.17
5op8	4.18
3sv2	4.19
4q83	4.19
3cft	4.19
4u6w	4.21
5n20	4.21
2qmj	4.21
3wkb	4.21
4tw6	4.21
5wbo	4.21
1yon	4.21
5ut6	4.24
2bes	4.24
5om9	4.25
3u4h	4.25
4lpg	4.25
1li3	4.25
5uiq	4.26
5mgf	4.27
3ijg	4.27
3gta	4.28
5f2r	4.28
3i4a	4.28
4y2s	4.28
4z7q	4.29
4cqf	4.3
4hwt	4.3
4wyz	4.3
1qm4	4.3
5dtm	4.3
2ylq	4.3
4jc1	4.3
5aic	4.3
2xnn	4.3
5d6e	4.3
4rsk	4.32
4u43	4.32
2ha6	4.32
4q7p	4.32
3l7a	4.33
2uze	4.33
1e3v	4.34
1z6s	4.34
3r5m	4.34
5n3v	4.34
1wbw	4.36
3wpn	4.36
4idz	4.36
4gu9	4.37
3u9q	4.38
1bhf	4.38
2wmu	4.38
4bek	4.39
5mar	4.39
3e62	4.39
4b82	4.39
3djo	4.39
5e8w	4.39
3np9	4.4
3zls	4.4
1p57	4.4
2ohs	4.4
2vio	4.4
3itu	4.4
4exs	4.41
3zqt	4.41
5ka9	4.41
3rsx	4.41
5bot	4.41
5dtr	4.41
1no6	4.41
4q7s	4.42
5sz9	4.42
5h9q	4.42
1h00	4.42
4ek9	4.42
5eps	4.42
4zw5	4.43
5g4o	4.43
3pxq	4.43
5f2p	4.43
5tus	4.43
2a3c	4.43
4joo	4.43
2pu2	4.43
2amt	4.44
4x2l	4.44
5akg	4.46
4i8n	4.46
1v1k	4.46
2f70	4.47
3hec	4.47
4bvb	4.48
3p17	4.48
1jaq	4.48
3h26	4.49
3kmy	4.49
5ovx	4.5
5aqg	4.51
4d2w	4.51
1zkn	4.51
1a85	4.52
2xf0	4.52
1mrn	4.52
2opy	4.52
1gu1	4.52
3h30	4.53
5etb	4.54
2zz1	4.54
3zn1	4.54
1oko	4.54
3vby	4.55
4mx5	4.55
3aqa	4.55
2qn2	4.55
3djv	4.55
4igk	4.55
1w2g	4.57
5ovr	4.57
4dhr	4.57
5ei4	4.58
5j7q	4.58
4yh3	4.59
3mt9	4.59
4zun	4.59
1kak	4.59
4xua	4.59
1l2s	4.59
3f3t	4.59
2jaj	4.6
3iqg	4.6
3cpb	4.6
2vb8	4.6
1u33	4.6
2ohq	4.6
2yof	4.6
3k0h	4.6
3vhk	4.6
4p58	4.6
5ngr	4.62
3exo	4.62
5cuh	4.62
2ybp	4.62
5m39	4.62
2f6t	4.62
2yhd	4.64
3wbl	4.64
5etl	4.64
4i1r	4.65
4w9c	4.65
3qtv	4.65
3rme	4.66
4b84	4.66
1h01	4.66
2xg5	4.66
1bzj	4.66
4xum	4.67
5auu	4.68
2uy4	4.68
1ol1	4.68
5a5q	4.68
5eq1	4.68
5op6	4.68
4agp	4.69
4tpw	4.69
5wbm	4.7
3uqf	4.7
1gpy	4.7
2y54	4.7
4uiz	4.7
1agw	4.7
4uy1	4.7
1c86	4.7
4o7b	4.7
1v2t	4.71
2qrh	4.71
4o70	4.72
4m5l	4.72
1urc	4.72
3vp4	4.73
3rl7	4.74
4jfi	4.74
2xg3	4.74
3gxt	4.74
2xzg	4.74
3f3u	4.74
4m5m	4.74
5lp6	4.76
5ccl	4.77
3rm9	4.77
3t3i	4.77
5mks	4.77
2qn1	4.77
2chw	4.77
5ho7	4.77
2nta	4.8
5jq7	4.8
3mlb	4.8
3o2m	4.8
5eko	4.8
4llp	4.8
3kce	4.8
3wk5	4.82
5ayf	4.82
4ie5	4.82
3kmx	4.82
2gzl	4.82
2xp8	4.82
4pks	4.82
4njd	4.84
4l7n	4.84
2r9x	4.85
4w57	4.85
5fbe	4.85
4wmx	4.85
1uu7	4.85
3ru1	4.85
3g2i	4.86
2brb	4.86
5i40	4.86
1zd5	4.87
3iw8	4.87
3lp4	4.88
5alt	4.88
4l7o	4.88
2ylo	4.88
1pxj	4.89
4cd1	4.89
4o7f	4.89
5ku3	4.89
5l3a	4.89
5ii2	4.89
4a9i	4.9
5d3t	4.92
3k15	4.92
3dgq	4.92
5ehp	4.92
4b81	4.92
4n8d	4.92
4j47	4.92
1bzc	4.92
3i6c	4.92
1y2f	4.92
3chd	4.92
2c93	4.92
5whc	4.92
1e1v	4.92
3uxk	4.93
5f32	4.94
2vd0	4.94
4cft	4.95
4f1q	4.95
3udr	4.96
4jsa	4.96
3n87	4.96
3lbj	4.96
5sy2	4.96
5sxn	4.96
2yoh	4.96
5al3	4.96
1cea	4.96
2c6i	4.96
3unj	4.96
1o5g	4.96
3zn0	4.97
4e3g	4.97
2rox	4.98
3hrf	4.99
3gjs	4.99
1fv9	5.0
1gsf	5.0
4n5g	5.0
1w2h	5.0
2bgd	5.0
2y6c	5.0
3ezr	5.0
1fgi	5.0
4rn1	5.0
4lv4	5.0
4n8r	5.0
3cfn	5.0
4g11	5.0
2oiq	5.0
1c84	5.0
4uzh	5.01
3ads	5.01
4l7r	5.02
3smq	5.02
5d1s	5.02
4trz	5.03
4yat	5.03
4z7n	5.04
2wmv	5.04
2oht	5.04
5d3n	5.04
5f25	5.04
4yzu	5.05
3s2o	5.05
1qxk	5.05
4y2y	5.05
2brc	5.05
5auw	5.05
4ie7	5.05
1gi8	5.05
1dgm	5.05
5acx	5.05
5luu	5.06
5c1w	5.06
4ebw	5.06
5i0b	5.06
2c3l	5.07
4oiv	5.08
5n2t	5.08
4mho	5.08
4drk	5.08
3w2o	5.08
4ie0	5.08
4r4q	5.09
1zkl	5.09
5fhm	5.09
4cq0	5.09
2am2	5.1
4b77	5.1
3nif	5.1
2r9w	5.1
3p4v	5.1
1t4j	5.1
1w7g	5.1
5f39	5.1
4rn6	5.1
4cdr	5.1
3k4d	5.11
5lbq	5.11
5ngf	5.11
4e49	5.11
4f1l	5.12
2yjw	5.12
4pci	5.12
5vsb	5.12
1uv6	5.12
4bio	5.12
3kad	5.12
3hb8	5.12
1gcz	5.13
3s9e	5.13
2hqu	5.14
4xjt	5.14
1o0m	5.15
1g6s	5.15
4b83	5.15
5alw	5.15
3udn	5.15
2ooz	5.15
3msl	5.15
1pb8	5.15
4pce	5.15
1oe0	5.16
3b27	5.16
3nzx	5.17
1q0b	5.17
2zfp	5.17
5fdz	5.17
3kag	5.18
2qrg	5.18
5tbp	5.18
1xur	5.18
2xey	5.19
1ogg	5.19
5h21	5.19
4mk0	5.2
3ov1	5.2
5hg1	5.2
3wk6	5.2
4b70	5.2
3rth	5.21
1re1	5.21
5ty1	5.21
3vbw	5.22
1gi9	5.22
1zz2	5.22
5cgj	5.22
1o5c	5.22
2hxm	5.22
2xwy	5.22
3udp	5.22
3ijz	5.22
3iof	5.22
1pw6	5.22
2q38	5.23
4mh7	5.23
3lc3	5.23
4drn	5.24
3r01	5.24
2vvt	5.24
3qck	5.24
4drm	5.24
3okh	5.24
4o7e	5.24
2jfz	5.24
1zrz	5.24
4jaj	5.26
5c7c	5.26
5akz	5.26
3chp	5.27
2az5	5.27
4j46	5.28
2x2l	5.28
4n9b	5.28
2vip	5.28
1f5l	5.28
5urj	5.28
3o5x	5.28
4wy1	5.29
1wum	5.29
5x9o	5.3
3elj	5.3
1di9	5.3
1w0x	5.3
1xbb	5.3
3ckr	5.3
1vyq	5.3
2ww0	5.3
4wvt	5.31
2f6z	5.32
2qnb	5.34
3hkq	5.34
3vb5	5.34
1k06	5.34
1zgi	5.34
1k08	5.34
3r8i	5.35
4wgi	5.35
3hkn	5.35
4c1d	5.36
2qn3	5.36
3bv9	5.36
4hby	5.36
5drt	5.36
5q0l	5.36
2nng	5.36
5t4e	5.36
5etn	5.37
4kz0	5.38
2xke	5.38
4umq	5.38
2vd7	5.38
4ebv	5.38
1qbv	5.39
3hkt	5.39
5i83	5.39
2xpa	5.39
1kyn	5.39
4btm	5.39
4hxr	5.39
4m3p	5.4
1uvs	5.4
2f35	5.4
3qcl	5.4
4c5d	5.4
5m2v	5.4
5eqp	5.4
1bp0	5.4
3arn	5.41
5m7t	5.41
3kai	5.41
5etm	5.41
4drp	5.41
5u5t	5.41
5cbs	5.41
4dro	5.41
1gja	5.42
1nu8	5.42
3qci	5.42
3k5f	5.43
2qln	5.43
4p2t	5.43
1fq7	5.43
5ksx	5.43
3k0k	5.43
4osf	5.44
3ggc	5.44
3my1	5.45
2fie	5.46
4zly	5.46
5txy	5.46
1lv8	5.46
2cn8	5.46
5u0f	5.47
4qb3	5.47
2hz4	5.47
5nn5	5.47
1gi1	5.47
4c5w	5.48
4kp8	5.48
5alx	5.48
4ie4	5.48
4jfm	5.48
2nww	5.48
2qyk	5.48
4ycu	5.48
5hrw	5.48
3qch	5.48
3vp1	5.48
3h0b	5.49
2uy5	5.49
2o0u	5.49
1pyn	5.49
2h4k	5.49
4w9f	5.49
4ura	5.5
2ajb	5.5
3lfn	5.5
3u51	5.51
2uym	5.51
4zgk	5.51
5juz	5.52
3iog	5.52
3cgo	5.52
3hqr	5.52
3i97	5.52
1a8i	5.52
5nn6	5.52
4r4c	5.54
5lgn	5.54
1ha2	5.54
4o0t	5.54
4dtt	5.54
3f07	5.54
1oiq	5.54
4p5e	5.55
2iuz	5.55
3sdg	5.55
4fri	5.55
5l2n	5.55
5vcx	5.55
4ie6	5.55
5all	5.57
2nmx	5.57
1njd	5.57
4xh6	5.57
3sha	5.59
4kxm	5.59
5n9r	5.59
3lfs	5.6
4yad	5.6
5lhg	5.6
4zzy	5.6
3cbp	5.6
1vfn	5.6
5d6p	5.6
4uiy	5.6
1lev	5.6
3qce	5.6
3qcf	5.6
3bl1	5.6
5boy	5.6
5a82	5.6
3u5j	5.61
1a08	5.62
1fyr	5.62
1cqp	5.62
5jq5	5.63
5d0c	5.63
3s8l	5.64
1z9g	5.64
3iw7	5.64
2ojg	5.64
1hlf	5.64
3hv6	5.64
4zs0	5.64
3fwv	5.64
4l70	5.66
5m4k	5.66
2f4j	5.66
5tcc	5.66
4hxl	5.66
1o43	5.66
3oxi	5.66
1n5r	5.66
5c28	5.66
4yo6	5.66
2h15	5.67
3zmp	5.67
4jfj	5.68
3ha6	5.68
2vr4	5.68
4mg9	5.68
4c52	5.68
1pgp	5.7
5jar	5.7
5lz4	5.7
2gpp	5.7
4f39	5.7
5m3a	5.7
1n1m	5.7
3c4h	5.7
4b13	5.7
3kku	5.7
1g4k	5.7
1y2d	5.7
3g0c	5.7
4aa7	5.7
2ya6	5.7
2a14	5.7
4l2l	5.7
1a46	5.7
2x7c	5.7
2xpb	5.7
5ajz	5.7
2uz9	5.71
2oz2	5.71
5y9l	5.72
4obz	5.72
3b1u	5.72
5lx6	5.72
5b5o	5.72
3c4f	5.72
3m3z	5.73
3bqc	5.73
5q0y	5.73
4xuh	5.73
5cbr	5.74
2b1v	5.74
5epk	5.74
2c68	5.74
4tkh	5.74
4zsp	5.74
5am5	5.74
4f70	5.74
4j3i	5.74
3jyj	5.74
2viy	5.74
3bzi	5.74
5u4b	5.74
4dk8	5.74
4o2b	5.74
4p4d	5.74
4iku	5.75
4a95	5.76
2cmc	5.76
1rhm	5.76
5fsn	5.77
5jas	5.77
1jj9	5.77
2pg2	5.77
4lbo	5.77
1jmf	5.77
5f37	5.77
2h44	5.77
3rm4	5.77
5dda	5.78
3dpd	5.78
4z2k	5.78
1y57	5.79
5n31	5.79
2y5h	5.79
1ppm	5.8
1jvp	5.8
3e63	5.8
1wug	5.8
2i40	5.8
5kyk	5.8
3il5	5.8
5t23	5.8
1lkl	5.81
4a9n	5.82
2ym4	5.82
2xez	5.82
3iue	5.82
2xk7	5.82
2nn1	5.82
4xs2	5.82
3ind	5.82
1zyj	5.82
4yax	5.82
3fzs	5.82
4e9u	5.82
5w5j	5.82
5a3w	5.82
4dld	5.82
4p5d	5.82
3bet	5.82
1ktt	5.82
3nzw	5.82
5wbq	5.83
4edy	5.83
4bzn	5.84
4oex	5.84
3duy	5.85
5egu	5.85
1qbn	5.85
2bro	5.85
1yw7	5.85
6bfe	5.85
4msu	5.85
4qr3	5.85
1tqf	5.85
5q0z	5.85
4mga	5.86
3vf3	5.86
5lif	5.87
4cfl	5.88
5am0	5.88
5h09	5.88
1u6q	5.88
4p6e	5.89
5u62	5.89
1ydk	5.89
4qmu	5.89
3wgw	5.89
5d3s	5.89
1fpi	5.89
2tmn	5.89
5ngt	5.89
3wzu	5.89
2qlb	5.89
1e1x	5.89
2viq	5.89
2ooh	5.89
1ett	5.89
4lkt	5.9
5a5s	5.9
4bw1	5.9
5a5r	5.9
5fhn	5.9
2g01	5.91
5cp5	5.91
2c0o	5.91
3jzk	5.91
4ot6	5.92
4mdq	5.92
2g9v	5.92
5ax3	5.92
5i12	5.92
5ivc	5.92
3vqh	5.92
4p0x	5.92
4l3p	5.92
2q96	5.92
5eq0	5.92
4h1j	5.92
1a4w	5.92
4ztl	5.92
4i6b	5.93
2c4g	5.94
3lnk	5.94
4mr4	5.94
3lmk	5.94
1kv1	5.94
5ale	5.95
5ekh	5.95
4n1b	5.96
5n21	5.96
3fxw	5.96
2q92	5.96
5vcw	5.96
6eqp	5.96
5jzn	5.96
4msc	5.96
4yvc	5.96
5jv0	5.96
5ttw	5.96
1nl9	5.96
4qxs	5.96
4urk	5.96
4w9i	5.96
5ho8	5.96
1d6w	5.96
4xub	5.97
4fm8	5.97
4wy6	5.97
5vse	5.97
1x7e	5.97
5ald	5.97
3ezv	5.98
3huc	5.99
1xgj	6.0
1di8	6.0
1f40	6.0
1i7g	6.0
4pmt	6.0
2w8g	6.0
4jv7	6.0
2r3i	6.0
5vd1	6.0
4zz3	6.0
4pzx	6.0
2ym3	6.0
4d2t	6.0
4x8g	6.0
4rs0	6.0
4l7l	6.0
1ke8	6.0
4o72	6.0
3uh2	6.0
3l4w	6.0
5ekj	6.0
4rao	6.0
4g2y	6.0
2vl4	6.01
5uez	6.01
5egs	6.01
1eb2	6.01
5y1y	6.01
1awf	6.01
2qhn	6.01
2vqm	6.01
2xwe	6.02
3coy	6.02
5f5i	6.02
4tjw	6.02
1okl	6.03
1xbo	6.04
4nuc	6.04
4tkj	6.04
5ll5	6.04
2w2i	6.04
3lbk	6.04
2wbb	6.04
3gus	6.05
5ur9	6.05
5h17	6.05
2q11	6.05
3f66	6.05
4eon	6.05
3max	6.05
5f3c	6.05
5tur	6.05
5c29	6.06
1kjr	6.06
1jmi	6.06
2ym6	6.06
1qb6	6.06
5avi	6.06
2xkf	6.06
2wmx	6.07
1xo2	6.07
5jv1	6.07
2w5g	6.07
4abv	6.07
3le8	6.07
2pjt	6.07
2vtn	6.07
1mmp	6.07
3rhx	6.08
5ll9	6.08
4ir6	6.08
1nhz	6.08
1kz8	6.08
1awh	6.08
3kaf	6.08
2g9r	6.08
3bkk	6.08
5h9r	6.08
4e8y	6.09
1ftj	6.09
5e7n	6.09
4kxn	6.1
4hxm	6.1
4l19	6.1
5vom	6.1
2vwz	6.1
4kzq	6.1
4r5t	6.1
4wp7	6.1
2cvd	6.1
1zxv	6.1
5a3x	6.1
2flr	6.1
4ya8	6.1
2zu3	6.1
1azm	6.1
2o63	6.11
4kao	6.11
4c9w	6.11
5dd9	6.11
4j1h	6.11
5l2o	6.12
4aw5	6.12
4jlj	6.13
5alo	6.13
2uue	6.13
3g9l	6.13
4zx1	6.14
5v9p	6.14
3kme	6.14
5u49	6.14
2fqt	6.14
5lyw	6.15
1zs0	6.15
2gfs	6.15
3fpd	6.15
2zdz	6.15
5nqe	6.15
1tsl	6.15
5dit	6.15
3r7b	6.15
4p4j	6.15
3usn	6.15
3rm8	6.15
4msl	6.15
3bbt	6.15
4r5v	6.15
1w6r	6.15
2evm	6.16
4o04	6.16
1yc1	6.17
1shd	6.17
4b9k	6.17
5tzh	6.17
3bkl	6.17
1k1o	6.17
4ikt	6.17
1okv	6.17
3hp2	6.17
1a9q	6.17
2c3j	6.18
1ke9	6.18
5km1	6.18
3wff	6.18
2vti	6.18
3zcw	6.19
1iy7	6.19
2qyl	6.19
2p98	6.19
4r8y	6.19
1dx6	6.19
5l2t	6.19
1f92	6.19
3fr4	6.19
4i4f	6.19
5aiv	6.19
3v8s	6.19
3u5l	6.19
5c84	6.19
4umu	6.19
3fzt	6.2
4bw4	6.2
4k6i	6.2
1owe	6.2
2aj8	6.2
2gmv	6.2
4eyj	6.21
3n0h	6.21
3i7i	6.21
2zm3	6.21
5ktu	6.21
5en3	6.21
5uqx	6.21
3s8n	6.21
2uzl	6.21
4ymb	6.21
3lmp	6.21
5ukk	6.21
4bqg	6.22
2n0u	6.22
3l5f	6.22
1l8g	6.22
4b14	6.22
3o0g	6.22
2ze1	6.22
4e5d	6.22
3hvc	6.22
4m0e	6.22
4mdn	6.22
6aud	6.22
5bsk	6.22
4anq	6.22
3h0w	6.22
2g6p	6.22
2b53	6.22
3ro4	6.23
5wa8	6.23
3s3v	6.23
4wr8	6.23
4ikr	6.23
5mat	6.24
2fix	6.24
5lwd	6.24
3vh9	6.24
5ajv	6.24
1tow	6.24
2fai	6.24
1hnn	6.24
5ais	6.24
4z22	6.24
2qyn	6.24
3fqh	6.24
2vx0	6.24
3q5h	6.25
1wzy	6.25
1ke5	6.25
2q93	6.25
3ans	6.25
2zdn	6.25
3rhk	6.26
4li5	6.26
3bgz	6.26
3su4	6.26
5cxz	6.26
1oyn	6.26
4r4i	6.27
2wqb	6.27
4gb9	6.27
2j94	6.27
1pbq	6.27
4wvs	6.27
6aol	6.27
3wix	6.27
2wu7	6.28
2esm	6.28
4djw	6.28
3oc0	6.28
2viv	6.28
4bgk	6.28
2gfd	6.28
5i86	6.28
4abu	6.28
2g0g	6.29
4y2x	6.29
4qt0	6.29
3vhv	6.29
3ipy	6.29
5vsc	6.29
4oq5	6.3
4bw3	6.3
4f63	6.3
4alg	6.3
4a9m	6.3
3qcj	6.3
3o23	6.3
5d25	6.3
1pwp	6.3
4yfi	6.3
4kio	6.3
5nb6	6.3
4eor	6.3
5brn	6.3
2zv2	6.3
4wf6	6.3
3g1m	6.3
1wm1	6.3
3s7b	6.3
6ayd	6.3
5ar5	6.3
3vzd	6.3
2w4i	6.3
2r3f	6.3
4bg1	6.31
2op3	6.31
3q44	6.31
4z6i	6.31
3ebh	6.32
4qq5	6.32
5ekm	6.32
2uyi	6.32
2zb1	6.32
1t69	6.32
5fue	6.33
5u4d	6.33
2y1w	6.33
3nsh	6.33
3hv3	6.33
5x72	6.33
5up0	6.34
4hev	6.34
4z0k	6.34
3iut	6.34
5bms	6.34
1i00	6.34
2f2c	6.35
1gjb	6.35
3ctt	6.35
5k5e	6.35
4i0f	6.35
3eid	6.35
3fr5	6.35
5lz5	6.35
4zpe	6.35
1cbx	6.35
3g90	6.36
1fta	6.36
4j0y	6.36
2owb	6.36
1o49	6.36
3oku	6.36
5tln	6.37
3i7g	6.37
1hms	6.37
5u7l	6.37
4r91	6.37
2ym5	6.37
5uqv	6.37
5qbv	6.37
2zdk	6.37
1gx8	6.37
3oqk	6.38
3l3a	6.38
1o79	6.39
3vyd	6.39
5xqx	6.39
5khk	6.39
4e26	6.4
2a4l	6.4
5uk8	6.4
5v24	6.4
2zaz	6.4
3kmc	6.4
1a1b	6.4
5hz8	6.4
3sfi	6.4
1a07	6.4
4r1y	6.4
1yvm	6.4
2o2u	6.4
4pmp	6.4
5iuh	6.4
4cga	6.4
3dz4	6.4
1jrs	6.4
4je7	6.4
10gs	6.4
1a1c	6.4
4u79	6.4
1syh	6.41
4o1b	6.41
1pye	6.41
2wmw	6.41
5wbz	6.41
3r17	6.41
1xor	6.41
2fw3	6.42
4wnk	6.42
4j0s	6.42
1thl	6.42
5ugg	6.42
1o5a	6.42
4zyc	6.42
4z2j	6.43
2ivu	6.43
2b07	6.43
4nh9	6.43
4deb	6.43
4cik	6.43
2bzz	6.43
1n7j	6.43
5w84	6.44
4jfk	6.44
4ea1	6.44
1qti	6.44
4tjy	6.44
2xnp	6.44
5al2	6.44
5m7m	6.45
5jss	6.45
2vwu	6.46
5dbm	6.46
3o8p	6.46
3i6m	6.46
5ndd	6.46
2xdx	6.46
4n07	6.46
1ro6	6.46
3tnh	6.46
3kdu	6.46
1w2k	6.46
6b4l	6.47
5he5	6.47
5mes	6.47
3gcq	6.47
1wbt	6.47
5nsp	6.47
2oz5	6.48
1gpn	6.48
3p3u	6.48
4n7e	6.48
3nc9	6.48
3mho	6.49
5ar7	6.49
5i2f	6.49
3qar	6.49
3qel	6.49
3ara	6.49
5h19	6.49
2h02	6.49
2g72	6.5
4ith	6.5
3qcs	6.5
4yxi	6.5
4oc0	6.5
5lgt	6.51
5jvi	6.51
3hf8	6.51
3hv4	6.51
4zbi	6.51
3k5u	6.51
2wtc	6.51
2y56	6.51
2x2k	6.52
3uo4	6.52
2ima	6.52
5fcw	6.52
3c10	6.52
4nj3	6.52
3zm6	6.52
3hjo	6.52
3qkk	6.52
2gz7	6.52
3wtj	6.53
3wtk	6.53
5alm	6.53
2p7g	6.53
3sl8	6.54
3piy	6.54
1h39	6.54
2evc	6.54
4ht2	6.54
3fuz	6.54
5lsy	6.54
3hii	6.54
3pvu	6.54
4pv5	6.54
4btx	6.54
5cqu	6.54
1vyz	6.54
4w9k	6.54
4a4v	6.54
3mxc	6.54
4qp8	6.55
1h3a	6.55
4frj	6.55
1hp5	6.55
1hmr	6.55
5he1	6.55
4clb	6.55
5sym	6.55
4tkf	6.55
4iue	6.55
3sax	6.57
4byj	6.57
5c7n	6.57
3il6	6.57
5g1a	6.57
5vcy	6.57
3ove	6.57
2c6l	6.57
3cm7	6.57
5evz	6.57
3qox	6.57
3sd5	6.58
5em5	6.58
2p7z	6.58
4dea	6.59
4xas	6.59
5akh	6.59
3kah	6.59
3kdt	6.59
4j51	6.59
2pvh	6.59
5ddd	6.59
5kbr	6.59
1d8e	6.6
5alk	6.6
2xhx	6.6
3eyl	6.6
4wpf	6.6
3v3q	6.6
1g7g	6.6
5i88	6.6
4bie	6.6
1kwr	6.6
4mr5	6.6
2gtk	6.6
5lma	6.6
4bib	6.6
3lxe	6.6
1jzs	6.6
3tu1	6.6
5f00	6.6
3mpt	6.6
3kig	6.61
3f7u	6.61
3rjm	6.61
3qpo	6.61
1kkq	6.62
5ugd	6.62
5yjp	6.62
2vww	6.62
5v42	6.62
5q0j	6.62
2cnf	6.62
1afk	6.62
3opm	6.62
5t37	6.62
4btk	6.62
5mw3	6.62
1xnz	6.62
4k77	6.63
2qlq	6.63
4nw7	6.63
4xip	6.63
2exc	6.63
4l0v	6.63
4cc6	6.64
2jdo	6.64
2h96	6.64
5ko1	6.64
3b26	6.64
4jit	6.64
5jat	6.64
5jap	6.64
5i2e	6.64
3eoc	6.64
3eio	6.65
2c5n	6.66
5n9t	6.66
4e96	6.66
4z7h	6.66
3iej	6.66
2vx1	6.66
3ow6	6.66
1o3p	6.66
2c8x	6.66
1a4r	6.66
4jr3	6.66
4y24	6.66
5m6f	6.66
6bfw	6.66
5cy9	6.66
2etm	6.67
5op5	6.67
2of2	6.68
3ddq	6.68
2qp6	6.68
2ony	6.68
1c5x	6.68
3zhx	6.68
1zeo	6.68
3qa2	6.68
4q6r	6.68
3ttj	6.68
2wf0	6.68
2qbs	6.68
2wtd	6.68
2cm7	6.68
